
shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH_RNCG1_OUT,6.7132,79.9022,1
SH_RNCG1_OUT,6.7730,79.8816,2
SH_RNCG1_OUT,6.8210,79.8665,3
SH_RNCG1_OUT,6.8523,79.8656,4
SH_RNCG1_OUT,6.8548,79.8725,5
SH_RNCG1_OUT,6.8610,79.8835,6
SH_RNCG1_OUT,6.8722,79.8910,7
SH_RNCG1_OUT,6.8900,79.9030,8
SH_RNCG1_OUT,6.9060,79.9180,9
SH_RNCG1_OUT,6.9050,79.9580,10
SH_RNCG1_OUT,6.9360,79.9820,11
SH_RNCG1_OUT,6.9560,79.9740,12
SH_RNCG1_OUT,7.0020,80.0200,13
SH_RNCG1_OUT,7.0430,80.0630,14
SH_RNCG1_OUT,7.0860,80.0490,15
SH_RNCG1_OUT,7.0865,80.0530,16
SH_RNCG1_OUT,7.1430,80.0940,17
SH_RNCG1_IN,7.1430,80.0940,1
SH_RNCG1_IN,7.0865,80.0530,2
SH_RNCG1_IN,7.0860,80.0490,3
SH_RNCG1_IN,7.0430,80.0630,4
SH_RNCG1_IN,7.0020,80.0200,5
SH_RNCG1_IN,6.9560,79.9740,6
SH_RNCG1_IN,6.9360,79.9820,7
SH_RNCG1_IN,6.9050,79.9580,8
SH_RNCG1_IN,6.9060,79.9180,9
SH_RNCG1_IN,6.8900,79.9030,10
SH_RNCG1_IN,6.8722,79.8910,11
SH_RNCG1_IN,6.8610,79.8835,12
SH_RNCG1_IN,6.8548,79.8725,13
SH_RNCG1_IN,6.8523,79.8656,14
SH_RNCG1_IN,6.8210,79.8665,15
SH_RNCG1_IN,6.7730,79.8816,16
SH_RNCG1_IN,6.7132,79.9022,17
SH_RNCG2_OUT,6.7132,79.9022,1
SH_RNCG2_OUT,6.7730,79.8816,2
SH_RNCG2_OUT,6.8210,79.8665,3
SH_RNCG2_OUT,6.8523,79.8656,4
SH_RNCG2_OUT,6.8548,79.8725,5
SH_RNCG2_OUT,6.8610,79.8835,6
SH_RNCG2_OUT,6.8722,79.8910,7
SH_RNCG2_OUT,6.8900,79.9030,8
SH_RNCG2_OUT,6.9060,79.9180,9
SH_RNCG2_OUT,6.9050,79.9580,10
SH_RNCG2_OUT,6.9360,79.9820,11
SH_RNCG2_OUT,6.9560,79.9740,12
SH_RNCG2_OUT,7.0020,80.0200,13
SH_RNCG2_OUT,7.0430,80.0630,14
SH_RNCG2_OUT,7.0860,80.0490,15
SH_RNCG2_OUT,7.0865,80.0530,16
SH_RNCG2_OUT,7.1430,80.0940,17
SH_RNCG2_OUT,7.2360,80.2000,18
SH_RNCG2_OUT,7.2630,80.2240,19
SH_RNCG2_OUT,7.2830,80.2410,20
SH_RNCG2_OUT,7.2513,80.3460,21
SH_RNCG2_OUT,7.2483,80.4450,22
SH_RNCG2_OUT,7.2540,80.5295,23
SH_RNCG2_OUT,7.2719,80.5937,24
SH_RNCG2_OUT,7.2906,80.6336,25
SH_RNCG2_IN,7.2906,80.6336,1
SH_RNCG2_IN,7.2719,80.5937,2
SH_RNCG2_IN,7.2540,80.5295,3
SH_RNCG2_IN,7.2483,80.4450,4
SH_RNCG2_IN,7.2513,80.3460,5
SH_RNCG2_IN,7.2830,80.2410,6
SH_RNCG2_IN,7.2630,80.2240,7
SH_RNCG2_IN,7.2360,80.2000,8
SH_RNCG2_IN,7.1430,80.0940,9
SH_RNCG2_IN,7.0865,80.0530,10
SH_RNCG2_IN,7.0860,80.0490,11
SH_RNCG2_IN,7.0430,80.0630,12
SH_RNCG2_IN,7.0020,80.0200,13
SH_RNCG2_IN,6.9560,79.9740,14
SH_RNCG2_IN,6.9360,79.9820,15
SH_RNCG2_IN,6.9050,79.9580,16
SH_RNCG2_IN,6.9060,79.9180,17
SH_RNCG2_IN,6.8900,79.9030,18
SH_RNCG2_IN,6.8722,79.8910,19
SH_RNCG2_IN,6.8610,79.8835,20
SH_RNCG2_IN,6.8548,79.8725,21
SH_RNCG2_IN,6.8523,79.8656,22
SH_RNCG2_IN,6.8210,79.8665,23
SH_RNCG2_IN,6.7730,79.8816,24
SH_RNCG2_IN,6.7132,79.9022,25
SH_RSLTB255_OUT,6.7132,79.9022,1
SH_RSLTB255_OUT,6.7972,79.9299,2
SH_RSLTB255_OUT,6.8019,79.9223,3
SH_RSLTB255_OUT,6.8479,79.9288,4
SH_RSLTB255_OUT,6.8417,79.9655,5
SH_RSLTB255_OUT,6.8981,79.9690,6
SH_RSLTB255_OUT,6.9360,79.9820,7
SH_RSLTB255_OUT,6.9560,79.9740,8
SH_RSLTB255_OUT,7.0020,80.0200,9
SH_RSLTB255_OUT,7.0430,80.0630,10
SH_RSLTB255_OUT,7.0860,80.0490,11
SH_RSLTB255_OUT,7.0865,80.0530,12
SH_RSLTB255_OUT,7.1430,80.0940,13
SH_RSLTB255_OUT,7.2360,80.2000,14
SH_RSLTB255_OUT,7.2630,80.2240,15
SH_RSLTB255_OUT,7.2830,80.2410,16
SH_RSLTB255_OUT,7.2513,80.3460,17
SH_RSLTB255_OUT,7.2483,80.4450,18
SH_RSLTB255_OUT,7.2540,80.5295,19
SH_RSLTB255_OUT,7.2719,80.5937,20
SH_RSLTB255_OUT,7.2906,80.6336,21
SH_RSLTB255_IN,7.2906,80.6336,1
SH_RSLTB255_IN,7.2719,80.5937,2
SH_RSLTB255_IN,7.2540,80.5295,3
SH_RSLTB255_IN,7.2483,80.4450,4
SH_RSLTB255_IN,7.2513,80.3460,5
SH_RSLTB255_IN,7.2830,80.2410,6
SH_RSLTB255_IN,7.2630,80.2240,7
SH_RSLTB255_IN,7.2360,80.2000,8
SH_RSLTB255_IN,7.1430,80.0940,9
SH_RSLTB255_IN,7.0865,80.0530,10
SH_RSLTB255_IN,7.0860,80.0490,11
SH_RSLTB255_IN,7.0430,80.0630,12
SH_RSLTB255_IN,7.0020,80.0200,13
SH_RSLTB255_IN,6.9560,79.9740,14
SH_RSLTB255_IN,6.9360,79.9820,15
SH_RSLTB255_IN,6.8981,79.9690,16
SH_RSLTB255_IN,6.8417,79.9655,17
SH_RSLTB255_IN,6.8479,79.9288,18
SH_RSLTB255_IN,6.8019,79.9223,19
SH_RSLTB255_IN,6.7972,79.9299,20
SH_RSLTB255_IN,6.7132,79.9022,21
