trip_id,arrival_time,departure_time,stop_id,stop_sequence
TNCG1R_0530,05:30:00,05:30:00,S17,1
TNCG1R_0530,05:40:00,05:40:00,S16,2
TNCG1R_0530,05:50:00,05:50:00,S15,3
TNCG1R_0530,06:00:00,06:00:00,S14,4
TNCG1R_0530,06:10:00,06:10:00,S13,5
TNCG1R_0530,06:20:00,06:20:00,S12,6
TNCG1R_0530,06:30:00,06:30:00,S11,7
TNCG1R_0530,06:40:00,06:40:00,S10,8
TNCG1R_0530,06:50:00,06:50:00,S09,9
TNCG1R_0530,07:00:00,07:00:00,S08,10
TNCG1R_0530,07:10:00,07:10:00,S07,11
TNCG1R_0530,07:20:00,07:20:00,S06,12
TNCG1R_0530,07:30:00,07:30:00,S05,13
TNCG1R_0530,07:40:00,07:40:00,S04,14
TNCG1R_0530,07:50:00,07:50:00,S03,15
TNCG1R_0530,08:00:00,08:00:00,S02,16
TNCG1R_0530,08:10:00,08:10:00,S01,17
TNCG1R_0550,05:50:00,05:50:00,S17,1
TNCG1R_0550,06:00:00,06:00:00,S16,2
TNCG1R_0550,06:10:00,06:10:00,S15,3
TNCG1R_0550,06:20:00,06:20:00,S14,4
TNCG1R_0550,06:30:00,06:30:00,S13,5
TNCG1R_0550,06:40:00,06:40:00,S12,6
TNCG1R_0550,06:50:00,06:50:00,S11,7
TNCG1R_0550,07:00:00,07:00:00,S10,8
TNCG1R_0550,07:10:00,07:10:00,S09,9
TNCG1R_0550,07:20:00,07:20:00,S08,10
TNCG1R_0550,07:30:00,07:30:00,S07,11
TNCG1R_0550,07:40:00,07:40:00,S06,12
TNCG1R_0550,07:50:00,07:50:00,S05,13
TNCG1R_0550,08:00:00,08:00:00,S04,14
TNCG1R_0550,08:10:00,08:10:00,S03,15
TNCG1R_0550,08:20:00,08:20:00,S02,16
TNCG1R_0550,08:30:00,08:30:00,S01,17
TNCG1_1630,16:30:00,16:30:00,S01,1
TNCG1_1630,16:41:52,16:41:52,S02,2
TNCG1_1630,16:53:45,16:53:45,S03,3
TNCG1_1630,17:05:38,17:05:38,S04,4
TNCG1_1630,17:17:30,17:17:30,S05,5
TNCG1_1630,17:29:22,17:29:22,S06,6
TNCG1_1630,17:41:15,17:41:15,S07,7
TNCG1_1630,17:53:08,17:53:08,S08,8
TNCG1_1630,18:05:00,18:05:00,S09,9
TNCG1_1630,18:16:52,18:16:52,S10,10
TNCG1_1630,18:28:45,18:28:45,S11,11
TNCG1_1630,18:40:38,18:40:38,S12,12
TNCG1_1630,18:52:30,18:52:30,S13,13
TNCG1_1630,19:04:22,19:04:22,S14,14
TNCG1_1630,19:16:15,19:16:15,S15,15
TNCG1_1630,19:28:08,19:28:08,S16,16
TNCG1_1630,19:40:00,19:40:00,S17,17
TNCG1_1700,17:00:00,17:00:00,S01,1
TNCG1_1700,17:11:52,17:11:52,S02,2
TNCG1_1700,17:23:45,17:23:45,S03,3
TNCG1_1700,17:35:38,17:35:38,S04,4
TNCG1_1700,17:47:30,17:47:30,S05,5
TNCG1_1700,17:59:22,17:59:22,S06,6
TNCG1_1700,18:11:15,18:11:15,S07,7
TNCG1_1700,18:23:08,18:23:08,S08,8
TNCG1_1700,18:35:00,18:35:00,S09,9
TNCG1_1700,18:46:52,18:46:52,S10,10
TNCG1_1700,18:58:45,18:58:45,S11,11
TNCG1_1700,19:10:38,19:10:38,S12,12
TNCG1_1700,19:22:30,19:22:30,S13,13
TNCG1_1700,19:34:22,19:34:22,S14,14
TNCG1_1700,19:46:15,19:46:15,S15,15
TNCG1_1700,19:58:08,19:58:08,S16,16
TNCG1_1700,20:10:00,20:10:00,S17,17
