stop_id,stop_name,stop_lat,stop_lon
S01,Panadura,6.7132,79.9047
S02,Moratuwa,6.7730,79.8816
S03,Ratmalana,6.8192,79.8650
S04,Dehiwala,6.8402,79.8656
S05,Kalubovila,6.8465,79.8776
S06,Kohuwala,6.8703,79.8778
S07,Nugegoda,6.8721,79.8890
S08,Pitakotte,6.8906,79.9090
S09,Battaramulla,6.9006,79.9196
S10,Malabe,6.9058,79.9580
S11,Kaduwela,6.9333,79.9828
S12,Biyagama,6.9583,79.9736
S13,Delgoda,7.0021,80.0150
S14,Weliweriya,7.0348,80.0241
S15,Belummahara,7.0566,80.0151
S16,Yakkala,7.0843,80.0320
S17,Nittambuwa,7.0883,80.0135
S18,Warakapola,7.1559,80.1954
S19,Ambepussa,7.2560,80.2255
S20,Galigamuwa,7.2983,80.2646
S21,Kegalle,7.2501,80.3464
S22,Mawanella,7.2518,80.4427
S23,Kadugannawa,7.2563,80.5019
S24,Peradeniya,7.2715,80.5920
S25,Kandy,7.2906,80.6337
S26,Kesbewa,6.7972,79.9299
S27,Piliyandala,6.8019,79.9223
S28,Maharagama,6.8479,79.9288
S29,Kottawa,6.8417,79.9655
S30,Athurugiriya,6.8981,79.9690
