trip_id,route_id,service_id
TNCG1R_0530,RNCG1,WEEK
TNCG1R_0550,RNCG1,WEEK
TNCG1_1630,RNCG1,WEEK
TNCG1_1700,RNCG1,WEEK
TNCG2_0330,RNCG2,WEEK
TNCG2_0400,RNCG2,WEEK
TNCG2_0430,RNCG2,WEEK
TNCG2_0450,RNCG2,WEEK
TNCG2_0515,RNCG2,WEEK
TNCG2_0540,RNCG2,WEEK
TNCG2_0615,RNCG2,WEEK
TNCG2_0700,RNCG2,WEEK
TNCG2_0730,RNCG2,WEEK
TNCG2_0810,RNCG2,WEEK
TNCG2_0830,RNCG2,WEEK
TNCG2_0910,RNCG2,WEEK
TNCG2_0950,RNCG2,WEEK
TNCG2R_0900,RNCG2,WEEK
TNCG2R_0950,RNCG2,WEEK
TNCG2R_1300,RNCG2,WEEK
TNCG2R_1400,RNCG2,WEEK
TNCG2R_1625,RNCG2,WEEK
TNCG2R_1725,RNCG2,WEEK
TNCG2R_1850,RNCG2,WEEK
TSLTB2_0500,RSLTB2,WEEK
TSLTB2_0710,RSLTB2,WEEK
TSLTB2_0750,RSLTB2,WEEK
TSLTB2_0850,RSLTB2,WEEK
TSLTB2_0930,RSLTB2,WEEK
TSLTB2_1130,RSLTB2,WEEK
TSLTB2_1230,RSLTB2,WEEK
TSLTB2_1330,RSLTB2,WEEK
TSLTB2_1640,RSLTB2,WEEK
TSLTB2R_0445,RSLTB2,WEEK
TSLTB2R_0630,RSLTB2,WEEK
TSLTB2R_0745,RSLTB2,WEEK
TSLTB2R_1145,RSLTB2,WEEK
TSLTB2R_1320,RSLTB2,WEEK
TSLTB2R_1420,RSLTB2,WEEK
TSLTB2R_1500,RSLTB2,WEEK
TSLTB2R_1615,RSLTB2,WEEK
TSLTB2R_1830,RSLTB2,WEEK
TSLTB255_1410,RSLTB255,WEEK
TSLTB255R_0815,RSLTB255,WEEK
